"id","name","symbol","strategic","category","summary","uses","supply_stage","reference_year","top_suppliers","eu_import_reliance_pct","eol_recycling_input_rate_pct","substitution_index","eu_note","sources"
"aluminium","Aluminium and bauxite","Al","x","light-metal","Bauxite is the ore, alumina the refined oxide, aluminium the metal. The EU smelts a meaningful share of its own aluminium but mines very little bauxite.","Transport and vehicle lightweighting|Construction and facades|Packaging|Power transmission","extraction (bauxite)","2023","Guinea::23|Australia::22|China::16","87","32","0.6","EU primary smelting capacity has contracted sharply under high electricity prices, shifting the balance towards imported metal.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"antimony","Antimony","Sb","","technology-metal","A brittle metalloid used mainly as a flame-retardant synergist and in lead alloys. Supply is unusually concentrated and almost entirely outside Europe.","Flame retardants|Lead-acid battery alloys|Glass and ceramics clarifiers|Ammunition","extraction","2023","China::63|Tajikistan::19|Turkey::5","100","28","0.62","China tightened antimony export controls in 2024, making this one of the tightest critical raw material markets.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"arsenic","Arsenic","As","","technology-metal","Recovered as a by-product of copper and lead smelting. Small market, but hard to substitute in compound semiconductors.","Gallium arsenide semiconductors|Lead alloys|Wood preservatives|Bronze and brass","processing","2023","China::57|Morocco::16|Russia::10","66","0","0.72","Produced in Europe only as a smelter by-product, notably in Sweden.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"baryte","Baryte","BaSO4","","industrial-mineral","A dense barium sulphate mineral, used overwhelmingly as a weighting agent in oil and gas drilling fluids.","Drilling fluids|Radiation shielding concrete|Paints and fillers|Barium chemicals","extraction","2023","China::35|India::13|Morocco::11","62","1","0.93","Germany and Bulgaria retain baryte mining, so EU dependence is lower than for most listed materials.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"beryllium","Beryllium","Be","","technology-metal","An exceptionally light and stiff metal. Copper-beryllium alloys account for most consumption.","Copper-beryllium alloys|Aerospace structures|X-ray windows|Nuclear applications","extraction","2023","United States::67|China::19|Mozambique::6","100","0","0.99","No EU extraction or primary processing. Supply depends almost entirely on the United States and China.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"bismuth","Bismuth","Bi","x","technology-metal","A heavy, low-toxicity metal increasingly used to replace lead. Produced almost entirely as a by-product of lead and copper refining.","Lead-free solders and brasses|Pharmaceuticals|Metallurgical additives|Pigments","refining","2023","China::74|Laos::11|South Korea::7","100","0","0.96","Strategic since 2024. Because it is a by-product, supply cannot easily be increased on demand.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"boron","Boron","B","x","industrial-mineral","Borate minerals. Turkey holds the majority of the world's economic reserves, giving it a position matched by few other commodities.","Glass fibre and borosilicate glass|Fertilisers|Permanent magnets (NdFeB)|Detergents and ceramics","extraction","2023","Turkey::72|United States::10|Chile::7","100","1","0.94","One of the most concentrated supplies on the entire list: a single country holds roughly three quarters of it.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"cobalt","Cobalt","Co","x","battery-metal","A battery cathode metal, mined mostly as a by-product of copper in the Democratic Republic of Congo and refined mostly in China.","Li-ion battery cathodes|Superalloys for jet engines|Hard metals and cutting tools|Catalysts","extraction","2023","DR Congo::74|Indonesia::6|Russia::4","76","22","0.71","Finland hosts the EU's main cobalt refining capacity, one of the few places outside China able to produce battery-grade cobalt chemicals.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"coking-coal","Coking coal","","","energy-mineral","Metallurgical coal used to make coke for blast-furnace steelmaking. Distinct from thermal coal burnt for power.","Blast furnace steelmaking|Foundry coke|Carbon electrodes","extraction","2023","China::57|Australia::16|Russia::7","62","0","0.68","Poland and Czechia are the EU producers. Demand should fall as steelmaking shifts to hydrogen and electric arc routes.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"copper","Copper","Cu","x","base-metal","The backbone conductor of electrification. The concern here is demand growth and permitting rather than geological scarcity.","Electrical wiring and cabling|Grid infrastructure|Motors and generators|Plumbing and roofing","extraction","2023","Chile::24|Peru::10|DR Congo::10","51","55","0.56","Added as a strategic raw material in 2024 on the strength of electrification demand, not supply concentration. Europe retains substantial mining and smelting.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"feldspar","Feldspar","","","industrial-mineral","An abundant aluminosilicate used as a flux in glass and ceramics. The EU is itself a major producer.","Ceramics and tiles|Container and flat glass|Fillers|Enamels","extraction","2023","Turkey::29|Italy::8|China::7","29","0","0.93","Italy is among the largest producers in the world, so EU import dependence is comparatively low.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"fluorspar","Fluorspar","CaF2","","industrial-mineral","Calcium fluoride, the entry point for essentially all fluorine chemistry, including refrigerants and battery electrolyte salts.","Hydrofluoric acid and fluorochemicals|Aluminium smelting flux|Steel flux|Battery electrolyte salts","extraction","2023","China::65|Mexico::14|Mongolia::6","66","1","0.96","Spain, Germany and Bulgaria mine fluorspar, giving the EU a partial domestic base.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"gallium","Gallium","Ga","x","technology-metal","A by-product of alumina refining, essential to compound semiconductors. Almost all primary supply is Chinese.","Gallium nitride power electronics|LEDs and laser diodes|Radar and 5G amplifiers|Photovoltaics","refining","2023","China::94|Japan::3|South Korea::2","100","0","0.91","China imposed export licensing on gallium in 2023. EU primary output has ceased; recovery from existing alumina refineries is the obvious way back in.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"germanium","Germanium","Ge","x","technology-metal","Recovered from zinc refining residues and coal fly ash. Central to infrared optics and fibre-optic networks.","Infrared optics and night vision|Fibre-optic cable|Satellite solar cells|Polymerisation catalysts","refining","2023","China::59|Russia::5|Japan::4","45","2","0.79","Also placed under Chinese export licensing in 2023. Belgium, Finland and France recover germanium from zinc residues, which is why EU dependence is lower than for gallium.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"hafnium","Hafnium","Hf","","technology-metal","A zirconium by-product with an unusual profile: France is the leading world producer, so the EU is a net exporter.","Superalloys for turbine blades|Nuclear control rods|Semiconductor gate dielectrics|Plasma cutting electrodes","refining","2023","France::49|United States::44|Ukraine::3","0","0","0.93","The rare case on this list where the EU controls supply rather than depending on it.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
